"Usage type","SAE1-BoxUsage:c6i.2xlarge($)","No usage type($)","SAE1-OutboundSMS-BR-Standard-Sharedroute-MessageFees($)","ComputeSP:1yrNoUpfront($)","SAE1-TimedStorage-ByteHrs($)","SAE1-Node:ra3.large($)","SAE1-EBS:SnapshotUsage($)","SAE1-EBS:VolumeUsage.gp3($)","SAE1-NatGateway-Bytes($)","SAE1-PaidS3DataEventsAnalyzed($)","SAE1-LCUUsage($)","SAE1-DataProcessing-Bytes($)","SAE1-WarmStorage-ByteHrs-S3($)","SAE1-TransitGateway-Bytes($)","SAE1-QS-Enterprise-SPICE($)","SAE1-DataTransfer-Regional-Bytes($)","SAE1-Requests-Tier2($)","SAE1-NatGateway-Hours($)","SAE1-EBS:VolumeUsage.gp2($)","SAE1-Requests-Tier1($)","SAE1-VendedLog-Bytes($)","SAE1-Amazon-Q-QS-Fee($)","SAE1-ProtocolHours($)","SAE1-LoadBalancerUsage($)","SAE1-DataScanned-Bytes($)","SAE1-WriteRequestUnits($)","SAE1-Reader-Pro-Enterprise-Month($)","SAE1-CW:GMD-Metrics($)","SAE1-USE1-AWS-Out-Bytes($)","SAE1-PaidEventsAnalyzed-Bytes($)","QS-User-Enterprise-Month($)","SAE1-Reader-Enterprise-Month($)","SAE1-AmazonEKS-Hours:perCluster($)","SAE1-TransitGateway-Hours($)","SAE1-CW:MetricMonitorUsage($)","SAE1-ETL-DPU-Hour($)","SAE1-EBS:VolumeP-IOPS.gp3($)","SAE1-EBS:VolumeP-Throughput.gp3($)","SAE1-ETL-Flex-DPU-Hour($)","SAE1-VpcEndpoint-Hours($)","SAE1-BilledBytes($)","SAE1-ConfigurationItemRecorded($)","SAE1-S3-Egress-Bytes($)","SAE1-NodeUsage:cache.t4g.small($)","SAE1-PaidEventsAnalyzed($)","SAE1-DataScannedInTB($)","SAE1-PaidComplianceCheck($)","SAE1-PublicIPv4:InUseAddress($)","SAE1-Catalog-Storage($)","SAE1-DataScanned($)","SAE1-ConfigRuleEvaluations($)","SAE1-DPBytesDelivered($)","SAE1-VpcEndpoint-Bytes($)","sa-east-1-KMS-Keys($)","SAE1-Crawler-DPU-Hour($)","SAE1-RMS:ra3.large($)","SAE1-DataTransfer-Out-Bytes($)","EBS:SnapshotUsage($)","SAE1-Lambda-GB-Second($)","USE1-PaidEventsAnalyzed($)","SAE1-MetadataProcessingDuration($)","us-east-1-KMS-Keys($)","SAE1-CW:Requests($)","USW2-PaidEventsAnalyzed($)","USE2-PaidEventsAnalyzed($)","CW:GMD-Metrics($)","SAE1-ReadRequestUnits($)","DashboardsUsageHour($)","USE1-PaidComplianceCheck($)","SAE1-AWSSecretsManager-Secrets($)","USE1-MP:USE1_OutputTokenCount-Units($)","USE1-MP:USE1_InputTokenCount-Units($)","CW:Requests($)","USE2-CW:Requests($)","USW2-CW:Requests($)","USE1-ConfigRuleEvaluations($)","us-east-2-KMS-Keys($)","us-west-2-KMS-Keys($)","CW:MetricMonitorUsage($)","TimedStorage-ByteHrs($)","USE2-ConfigRuleEvaluations($)","SAE1-VpcPeering-Out-Bytes($)","SAE1-VpcPeering-In-Bytes($)","USW2-ConfigRuleEvaluations($)","SAE1-Request($)","SAE1-CW:AlarmMonitorUsage($)","USE1-APIRequest($)","SAE1-OtherProduct:PaidFindingsIngestion($)","SAE1-Catalog-Request($)","SAE1-DownloadBytes($)","sa-east-1-KMS-Requests($)","USE1-Event-64K-Chunks($)","SAE1-Event-64K-Chunks($)","SAE1-S3DeliveryObjectCount($)","ConfigurationItemRecorded($)","Requests-Tier1($)","us-east-1-KMS-Requests($)","SAE1-AWSSecretsManagerAPIRequest($)","Global-QS-ENT-Alerts-Paid($)","SAE1-Lambda-Storage-GB-Second($)","USE1-NovaPro-input-tokens($)","Requests-Tier2($)","USE2-ConfigurationItemRecorded($)","us-east-2-KMS-Requests($)","us-west-2-KMS-Requests($)","AWS-Automation-StepCount($)","SAE1-USW2-AWS-Out-Bytes($)","USE1-NovaPro-output-tokens($)","USW2-ConfigurationItemRecorded($)","APN2-CW:Requests($)","APS2-CW:Requests($)","APS3-CW:Requests($)","CAN1-CW:Requests($)","EUC1-CW:Requests($)","EUW3-CW:Requests($)","USW1-CW:Requests($)","EU-CW:Requests($)","APN1-CW:Requests($)","APN3-CW:Requests($)","APS1-CW:Requests($)","EUW2-CW:Requests($)","EUN1-CW:Requests($)","USE1-AWSSecretsManagerAPIRequest($)","USE2-AWSSecretsManagerAPIRequest($)","USW2-AWSSecretsManagerAPIRequest($)","SAE1-OC-OpsItems-Tier1($)","Requests-Tier8($)","SAE1-Requests-Tier8($)","USE2-Requests-Tier8($)","USW2-Requests-Tier8($)","USE1-Catalog-Request($)","SAE1-USW1-AWS-Out-Bytes($)","USE2-Catalog-Request($)","SAE1-USE2-AWS-Out-Bytes($)","SAE1-PublicIPv4:IdleAddress($)","USW2-Catalog-Request($)","USE2-Requests-Tier1($)","USE1-OtherProduct:PaidFindingsIngestion($)","USW2-Requests-Tier1($)","APS2-AWSSecretsManagerAPIRequest($)","CAN1-AWSSecretsManagerAPIRequest($)","EUW3-AWSSecretsManagerAPIRequest($)","APN2-AWSSecretsManagerAPIRequest($)","APN3-AWSSecretsManagerAPIRequest($)","USW1-AWSSecretsManagerAPIRequest($)","APS1-AWSSecretsManagerAPIRequest($)","APS3-AWSSecretsManagerAPIRequest($)","EUN1-AWSSecretsManagerAPIRequest($)","EUW2-AWSSecretsManagerAPIRequest($)","EUC1-AWSSecretsManagerAPIRequest($)","APN1-AWSSecretsManagerAPIRequest($)","EU-AWSSecretsManager-APIRequests($)","SAE1-Tables-Requests-Tier1($)","ap-south-1-KMS-Requests($)","ap-southeast-2-KMS-Requests($)","eu-west-3-KMS-Requests($)","us-west-1-KMS-Requests($)","ap-northeast-2-KMS-Requests($)","ap-northeast-3-KMS-Requests($)","ap-southeast-1-KMS-Requests($)","ca-central-1-KMS-Requests($)","eu-north-1-KMS-Requests($)","eu-west-2-KMS-Requests($)","eu-central-1-KMS-Requests($)","APS3-Requests-Tier1($)","ap-northeast-1-KMS-Requests($)","APS1-Requests-Tier1($)","EUN1-Requests-Tier1($)","USW1-Catalog-Request($)","eu-west-1-KMS-Requests($)","Tables-Requests-Tier1($)","USE2-Tables-Requests-Tier1($)","USW2-Tables-Requests-Tier1($)","Requests-RBP($)","SAE1-OC-API-Requests-Tier1($)","USE1-USW2-AWS-Out-Bytes($)","EUC1-Catalog-Request($)","APN2-Catalog-Request($)","CAN1-Catalog-Request($)","APS1-Catalog-Request($)","EUN1-Catalog-Request($)","EUW2-Catalog-Request($)","EUW3-Catalog-Request($)","APN1-Catalog-Request($)","APN3-Catalog-Request($)","APS2-Catalog-Request($)","APS3-Catalog-Request($)","USE1-PaidS3DataEventsAnalyzed($)","EU-Catalog-Request($)","APN1-Requests-Tier1($)","USW1-Requests-Tier1($)","USE1-OC-API-Requests-Tier1($)","USE1-SAE1-AWS-Out-Bytes($)","APN3-Requests-Tier1($)","APS2-Requests-Tier1($)","CAN1-Requests-Tier1($)","EUW3-Requests-Tier1($)","APN2-Requests-Tier1($)","EUW2-Requests-Tier1($)","EUC1-Requests-Tier1($)","EU-Requests-Tier1($)","AWS-Automation-ScriptDuration($)","DataTransfer-Out-Bytes($)","USE1-USW1-AWS-Out-Bytes($)","WriteRequestUnits($)","SAE1-APS3-AWS-Out-Bytes($)","SAE1-APN2-AWS-Out-Bytes($)","SAE1-EUW2-AWS-Out-Bytes($)","SAE1-CAN1-AWS-Out-Bytes($)","SAE1-APS2-AWS-Out-Bytes($)","SAE1-APS1-AWS-Out-Bytes($)","SAE1-APN3-AWS-Out-Bytes($)","SAE1-EUW3-AWS-Out-Bytes($)","SAE1-APN1-AWS-Out-Bytes($)","SAE1-EUC1-AWS-Out-Bytes($)","SAE1-EUN1-AWS-Out-Bytes($)","ReadRequestUnits($)","SAE1-Lambda-GB-Second-ARM($)","SAE1-EU-AWS-Out-Bytes($)","USE1-Catalog-Storage($)","USE1-TimedStorage-ByteHrs($)","USE1-CAN1-AWS-Out-Bytes($)","USE1-APS3-AWS-Out-Bytes($)","USE1-APS2-AWS-Out-Bytes($)","USE1-APN2-AWS-Out-Bytes($)","USE1-EUW2-AWS-Out-Bytes($)","USE1-EUW3-AWS-Out-Bytes($)","USE1-APS1-AWS-Out-Bytes($)","USE1-APN3-AWS-Out-Bytes($)","USE1-APN1-AWS-Out-Bytes($)","USE1-EUC1-AWS-Out-Bytes($)","USE1-EUN1-AWS-Out-Bytes($)","USE1-EU-AWS-Out-Bytes($)","USE1-USE2-AWS-Out-Bytes($)","SAE1-TagStorage-TagHrs($)","Lambda-GB-Second($)","APS2-USW1-AWS-Out-Bytes($)","APN1-USW1-AWS-Out-Bytes($)","APN3-USW1-AWS-Out-Bytes($)","APS1-USW1-AWS-Out-Bytes($)","APS3-USW1-AWS-Out-Bytes($)","APN2-USW1-AWS-Out-Bytes($)","USE1-VendedLog-Bytes($)","CAN1-USW1-AWS-Out-Bytes($)","EUC1-USW1-AWS-Out-Bytes($)","EU-USW1-AWS-Out-Bytes($)","EUN1-USW1-AWS-Out-Bytes($)","EUW2-USW1-AWS-Out-Bytes($)","EUW3-USW1-AWS-Out-Bytes($)","USE2-USW1-AWS-Out-Bytes($)","USW2-USW1-AWS-Out-Bytes($)","APN2-DataTransfer-Out-Bytes($)","APS1-DataTransfer-Out-Bytes($)","APN1-DataTransfer-Out-Bytes($)","APN3-DataTransfer-Out-Bytes($)","APS2-DataTransfer-Out-Bytes($)","APS3-DataTransfer-Out-Bytes($)","CAN1-DataTransfer-Out-Bytes($)","EU-DataTransfer-Out-Bytes($)","EUC1-DataTransfer-Out-Bytes($)","EUN1-DataTransfer-Out-Bytes($)","EUW2-DataTransfer-Out-Bytes($)","EUW3-DataTransfer-Out-Bytes($)","USE2-DataTransfer-Out-Bytes($)","USW2-DataTransfer-Out-Bytes($)","Request($)","SAE1-Request-ARM($)","APS2-SAE1-AWS-Out-Bytes($)","APN1-SAE1-AWS-Out-Bytes($)","APN3-SAE1-AWS-Out-Bytes($)","APS1-SAE1-AWS-Out-Bytes($)","APS3-SAE1-AWS-Out-Bytes($)","APN2-SAE1-AWS-Out-Bytes($)","CAN1-SAE1-AWS-Out-Bytes($)","EU-SAE1-AWS-Out-Bytes($)","EUC1-SAE1-AWS-Out-Bytes($)","EUN1-SAE1-AWS-Out-Bytes($)","EUW2-SAE1-AWS-Out-Bytes($)","EUW3-SAE1-AWS-Out-Bytes($)","USE2-SAE1-AWS-Out-Bytes($)","USW1-SAE1-AWS-Out-Bytes($)","USW2-SAE1-AWS-Out-Bytes($)","SAE1-BoxUsage:m7i.large($)","SAE1-BoxUsage:r6i.4xlarge($)","APN1-FreeEventsRecorded($)","APN1-SAE1-AWS-In-Bytes($)","APN1-USW1-AWS-In-Bytes($)","APN2-FreeEventsRecorded($)","APN2-SAE1-AWS-In-Bytes($)","APN2-USW1-AWS-In-Bytes($)","APN3-FreeEventsRecorded($)","APN3-SAE1-AWS-In-Bytes($)","APN3-USW1-AWS-In-Bytes($)","APS1-FreeEventsRecorded($)","APS1-SAE1-AWS-In-Bytes($)","APS1-USW1-AWS-In-Bytes($)","APS2-FreeEventsRecorded($)","APS2-SAE1-AWS-In-Bytes($)","APS2-USW1-AWS-In-Bytes($)","APS3-FreeEventsRecorded($)","APS3-SAE1-AWS-In-Bytes($)","APS3-USW1-AWS-In-Bytes($)","CAN1-FreeEventsRecorded($)","CAN1-SAE1-AWS-In-Bytes($)","CAN1-USW1-AWS-In-Bytes($)","DataTransfer-In-Bytes($)","DeliveryAttempts-LAMBDA($)","EU-FreeEventsRecorded($)","EU-SAE1-AWS-In-Bytes($)","EU-USW1-AWS-In-Bytes($)","EUC1-FreeEventsRecorded($)","EUC1-SAE1-AWS-In-Bytes($)","EUC1-USW1-AWS-In-Bytes($)","EUN1-FreeEventsRecorded($)","EUN1-SAE1-AWS-In-Bytes($)","EUN1-USW1-AWS-In-Bytes($)","EUW2-FreeEventsRecorded($)","EUW2-SAE1-AWS-In-Bytes($)","EUW2-USW1-AWS-In-Bytes($)","EUW3-FreeEventsRecorded($)","EUW3-SAE1-AWS-In-Bytes($)","EUW3-USW1-AWS-In-Bytes($)","Global-Bucket-Hrs-FreeTier($)","Health-Check-AWS($)","SAE1-APE1-AWS-In-Bytes($)","SAE1-APE2-AWS-In-Bytes($)","SAE1-APN1-AWS-In-Bytes($)","SAE1-APN2-AWS-In-Bytes($)","SAE1-APN3-AWS-In-Bytes($)","SAE1-APS1-AWS-In-Bytes($)","SAE1-APS2-AWS-In-Bytes($)","SAE1-APS3-AWS-In-Bytes($)","SAE1-APS4-AWS-In-Bytes($)","SAE1-APS5-AWS-In-Bytes($)","SAE1-APS8-AWS-In-Bytes($)","SAE1-APS9-AWS-In-Bytes($)","SAE1-BoxUsage:m6i.xlarge($)","SAE1-BoxUsage:t3.xlarge($)","SAE1-BoxUsage:t3a.xlarge($)","SAE1-CAN1-AWS-In-Bytes($)","SAE1-CAN2-AWS-In-Bytes($)","SAE1-CloudFront-In-Bytes($)","SAE1-CloudFront-Out-Bytes($)","SAE1-DataTransfer-AZ-In-Bytes($)","SAE1-DataTransfer-AZ-Out-Bytes($)","SAE1-DataTransfer-In-Bytes($)","SAE1-DataTransfer-xAZ-In-Bytes($)","SAE1-DataTransfer-xAZ-Out-Bytes($)","SAE1-DeliveryAttempts-SMS($)","SAE1-DeliveryAttempts-SMTP($)","SAE1-EBSOptimized:r6i.4xlarge($)","SAE1-ESC1-AWS-In-Bytes($)","SAE1-EU-AWS-In-Bytes($)","SAE1-EUC1-AWS-In-Bytes($)","SAE1-EUN1-AWS-In-Bytes($)","SAE1-EUS1-AWS-In-Bytes($)","SAE1-EUW2-AWS-In-Bytes($)","SAE1-EUW3-AWS-In-Bytes($)","SAE1-FreeEventsRecorded($)","SAE1-Logs-LiveTail($)","SAE1-MES1-AWS-In-Bytes($)","SAE1-OutboundSMS-BR-Standard-Sharedroute-MessageCount($)","SAE1-SecurityHubProduct:FreeFindingsIngestion($)","SAE1-StateTransition($)","SAE1-StorageLensFreeTier-ObjCount($)","SAE1-USE1-AWS-In-Bytes($)","SAE1-USE2-AWS-In-Bytes($)","SAE1-USW1-AWS-In-Bytes($)","SAE1-USW2-AWS-In-Bytes($)","USE1-FreeEventsRecorded($)","USE1-FreeFindingsIngestion-CrossRegion($)","USE1-Resource-Operation-Count($)","USE1-SAE1-AWS-In-Bytes($)","USE1-SecurityHubProduct:FreeFindingsIngestion($)","USE1-USW1-AWS-In-Bytes($)","USE2-FreeEventsRecorded($)","USE2-SAE1-AWS-In-Bytes($)","USE2-USW1-AWS-In-Bytes($)","USW1-FreeEventsRecorded($)","USW1-SAE1-AWS-In-Bytes($)","USW2-FreeEventsRecorded($)","USW2-SAE1-AWS-In-Bytes($)","USW2-USW1-AWS-In-Bytes($)","SAE1-BoxUsage:m7i-flex.2xlarge($)","Total costs($)"
"Usage type total","8005.6495419477","5075.94","5019.12","3840","3410.6581734793","2658.820142992","1953.5239903294","1844.3545000801","1731.0769966248","1620.98951608","1296.6676799625","1280.3216600131","1018.5255165852","1006.4093565242","892.7185711533","890.6511553538","777.77625632","571.392","492.450971952","353.7917132","277.1208286157","258.3333294","230.4","208.896","197.0534428562","188.0466834375","187.215050976","173.405036","165.685705639","164.1231293221","158.3741911488","154.99999764","153.6","138.24","135.578724565","119.02001751","117.483333292","103.8816993357","98.3055015","96.768","90.7245461755","90.378","58.8358834755","46.848","40.870431","36.204741","34.6827","26.886965275","23.2828042219","22.879595","22.5748","22.3368631712","21.1041814312","18.048386824","16.72023387","15.171235447","15.0598616054","10.2964085375","9.2207927038","7.104032","4.81761086","4.0715053144","3.833998","3.744224","3.682364","3.43256","3.2265984946","3.0999999528","2.283","1.9305560671","1.7101755","1.5986289","1.43806","1.43386","1.43383","1.0575","1.0333333176","1.0319892316","0.9287499856","0.8670665046","0.849","0.8110612689","0.8110334168","0.736","0.5922624","0.587283185","0.55","0.4971","0.489022","0.3502433684","0.311463","0.157098","0.127504","0.1089916","0.096","0.091844","0.070482","0.054","0.044","0.0320612879","0.0293056","0.0286556","0.021","0.015354","0.015297","0.012","0.0082846524","0.0065664","0.006","0.0054","0.0054","0.00539","0.00539","0.00539","0.00539","0.00539","0.00538","0.00537","0.00537","0.00537","0.00536","0.00535","0.004765","0.00417","0.004145","0.00297","0.00288","0.00288","0.00288","0.00288","0.001358","0.0013294262","0.001302","0.0011961679","0.00116669","0.001073","0.0008904","0.00084","0.000823","0.00073","0.00073","0.00073","0.000725","0.000725","0.000725","0.00072","0.00072","0.00072","0.00071","0.000695","0.000645","0.00057","0.000455","0.000432","0.000432","0.000432","0.000432","0.000429","0.000429","0.000429","0.000429","0.000426","0.000423","0.000414","0.0004004","0.000393","0.00039","0.0003796","0.000341","0.000336","0.00032","0.00032","0.00032","0.0003168","0.000312","0.0003043368","0.000288","0.000285","0.000284","0.000283","0.000283","0.000283","0.000283","0.000282","0.000282","0.000282","0.00028","0.0002596","0.000255","0.0002534","0.0002029","0.000117","0.0000831702","0.0000804","0.0000804","0.0000804","0.0000804","0.00008","0.0000792","0.000078","0.0000676","0.00006","0.0000587218","0.000051375","0.00005","0.0000440579","0.0000439512","0.000043472","0.0000434544","0.0000425744","0.0000418739","0.0000416592","0.0000415712","0.000040568","0.0000397459","0.0000393008","0.0000331875","0.0000316868","0.000023144","0.0000180768","0.0000165701","0.0000140154","0.0000136717","0.000013652","0.0000134822","0.0000133965","0.0000132917","0.000013271","0.0000131023","0.000012635","0.0000126014","0.0000121382","0.0000065221","0.0000064732","0.0000034621","0.000002525","0.0000019837","0.0000018213","0.0000018213","0.0000018213","0.0000017226","0.0000016183","0.0000011411","4.003e-7","4.003e-7","4.002e-7","4.002e-7","4.002e-7","4.002e-7","4.002e-7","4.002e-7","3.249e-7","3.131e-7","2.958e-7","2.958e-7","2.958e-7","2.842e-7","2.32e-7","2.32e-7","2.32e-7","2.32e-7","2.32e-7","2.32e-7","2.32e-7","2.32e-7","2e-7","2e-7","1.545e-7","1.445e-7","1.445e-7","1.445e-7","1.36e-7","1.275e-7","3.25e-8","3.25e-8","3.25e-8","3.25e-8","3.25e-8","3.25e-8","3.25e-8","3.25e-8","3.25e-8","3e-10","2e-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-3e-10","47750.8952393441"
"2026-03-01","7820.0244335877","4532.9","4790.25","3720","3295.0505970921","2575.684142992","1953.5239903294","1791.5516880569","1644.9444152568","1547.49320792","1249.5696833268","1230.2943737322","986.1315723707","969.0575551046","863.7315675213","856.5593263395","754.54155392","553.536","477.84999972","341.4069246","268.0790292432","249.999996","223.2","202.368","197.0534428562","180.679663125","178.54838424","168.035742","159.873584323","158.4559684109","152.774191104","149.9999976","148.8","133.92","132.0508079308","119.02001751","113.9999999616","101.0601321714","94.77812655","93.744","86.9040820888","87.426","57.5735663552","45.384","39.59942","34.432227","33.5987","26.046965275","23.2828042219","22.1099","21.7188","21.424537782","20.2450287921","17.381720152","16.06132182","14.669735176","14.6429253947","10.2964085375","8.9900559614","6.872608","4.6194444228","3.93817198","3.833998","3.622544","3.562292","3.29114","3.1072680551","2.999999952","2.1774","1.8638893951","1.477014","1.3761726","1.43806","1.43386","1.43383","1.0005","0.999999984","0.998655898","0.8999999856","0.8375755116","0.821","0.7789119369","0.7788797256","0.713","0.5753368","0.587283185","0.49","0.47934","0.489022","0.3502433684","0.304359","0.152255","0.123589","0.1050396","0.093","0.088988","0.069654","0.05212","0.0425","0.0311320139","0.0293056","0.0277228","0.021","0.014925","0.014883","0.012","0.0080221493","0.0065664","0.006","0.0054","0.0054","0.00539","0.00539","0.00539","0.00539","0.00539","0.00538","0.00537","0.00537","0.00537","0.00536","0.00535","0.00461","0.004035","0.004015","0.00297","0.00279","0.00279","0.00279","0.00279","0.001358","0.0012604373","0.001302","0.0011631399","0.00116669","0.001073","0.000855","0.00084","0.000803","0.00071","0.00071","0.00071","0.000705","0.000705","0.000705","0.0007","0.0007","0.0007","0.00069","0.000675","0.00063","0.000555","0.000441","0.00042","0.00042","0.00042","0.00042","0.000417","0.000417","0.000417","0.000417","0.000414","0.000411","0.000402","0.0003876","0.000384","0.0003772","0.0003668","0.000341","0.000327","0.00031","0.00031","0.00031","0.0003068","0.000273","0.0002949012","0.000288","0.000285","0.000284","0.000283","0.000283","0.000283","0.000283","0.000282","0.000282","0.000282","0.00028","0.0002596","0.000255","0.000251","0.0002001","0.000117","0.0000809913","0.0000776","0.0000776","0.0000776","0.0000776","0.0000772","0.0000764","0.0000752","0.0000652","0.00006","0.0000552377","0.0000490022","0.00005","0.0000427203","0.0000426664","0.0000421344","0.0000421872","0.0000405856","0.0000405108","0.0000404096","0.0000402336","0.0000398992","0.0000384083","0.0000385616","0.0000331875","0.0000316868","0.0000224752","0.0000180768","0.0000160335","0.0000135812","0.0000132375","0.0000132059","0.000013048","0.0000129623","0.0000128575","0.0000128368","0.0000126701","0.0000124127","0.0000121672","0.0000118943","0.0000063318","0.0000062526","0.0000033538","0.000002525","0.000001881","0.000001727","0.000001727","0.000001727","0.0000016335","0.0000015345","0.0000011411","0.0000003795","0.0000003795","0.0000003795","0.0000003795","0.0000003795","0.0000003795","0.0000003795","0.0000003795","0.000000308","0.000000297","0.0000002805","0.0000002805","0.0000002805","0.0000002695","0.00000022","0.00000022","0.00000022","0.00000022","0.00000022","0.00000022","0.00000022","0.00000022","0.0000002","0.0000002","0.0000001491","0.0000001394","0.0000001394","0.0000001394","0.0000001312","0.000000123","0.0000000313","0.0000000313","0.0000000313","0.0000000313","0.0000000313","0.0000000313","0.0000000313","0.0000000313","0.0000000313","0","0.0000000002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0000000003","45841.5111222153"
"2026-04-01","185.62510836","543.04","228.87","120","115.6075763872","83.136","","52.8028120232","86.132581368","73.49630816","47.0979966357","50.0272862809","32.3939442145","37.3518014196","28.987003632","34.0918290143","23.2347024","17.856","14.600972232","12.3847886","9.0417993725","8.3333334","7.2","6.528","","7.3670203125","8.666666736","5.369294","5.812121316","5.6671609112","5.6000000448","5.00000004","4.8","4.32","3.5279166342","","3.4833333304","2.8215671643","3.52737495","3.024","3.8204640867","2.952","1.2623171203","1.464","1.271011","1.772514","1.084","0.84","0","0.769695","0.856","0.9123253892","0.8591526391","0.666666672","0.65891205","0.501500271","0.4169362107","","0.2307367424","0.231424","0.1981664372","0.1333333344","0","0.12168","0.120072","0.14142","0.1193304395","0.1000000008","0.1056","0.066666672","0.2331615","0.2224563","0","0","0","0.057","0.0333333336","0.0333333336","0.02875","0.029490993","0.028","0.032149332","0.0321536912","0.023","0.0169256","0","0.06","0.01776","0","","0.007104","0.004843","0.003915","0.003952","0.003","0.002856","0.000828","0.00188","0.0015","0.000929274","","0.0009328","","0.000429","0.000414","","0.0002625031","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000155","0.000135","0.00013","","0.00009","0.00009","0.00009","0.00009","0","0.0000689889","0","0.000033028","","0","0.0000354","","0.00002","0.00002","0.00002","0.00002","0.00002","0.00002","0.00002","0.00002","0.00002","0.00002","0.00002","0.00002","0.000015","0.000015","0.000014","0.000012","0.000012","0.000012","0.000012","0.000012","0.000012","0.000012","0.000012","0.000012","0.000012","0.000012","0.0000128","0.000009","0.0000128","0.0000128","0","0.000009","0.00001","0.00001","0.00001","0.00001","0.000039","0.0000094356","0","0","0","0","0","0","0","0","0","0","0","","0","0.0000024","0.0000028","","0.0000021789","0.0000028","0.0000028","0.0000028","0.0000028","0.0000028","0.0000028","0.0000028","0.0000024","","0.0000034841","0.0000023728","","0.0000013376","0.0000012848","0.0000013376","0.0000012672","0.0000019888","0.0000013631","0.0000012496","0.0000013376","0.0000006688","0.0000013376","0.0000007392","","","0.0000006688","0","0.0000005366","0.0000004342","0.0000004342","0.0000004461","0.0000004342","0.0000004342","0.0000004342","0.0000004342","0.0000004322","0.0000002223","0.0000004342","0.0000002439","0.0000001903","0.0000002206","0.0000001083","","0.0000001027","0.0000000943","0.0000000943","0.0000000943","0.0000000891","0.0000000838","","0.0000000208","0.0000000208","0.0000000207","0.0000000207","0.0000000207","0.0000000207","0.0000000207","0.0000000207","0.0000000169","0.0000000161","0.0000000153","0.0000000153","0.0000000153","0.0000000147","0.000000012","0.000000012","0.000000012","0.000000012","0.000000012","0.000000012","0.000000012","0.000000012","","","0.0000000054","0.0000000051","0.0000000051","0.0000000051","0.0000000048","0.0000000045","0.0000000012","0.0000000012","0.0000000012","0.0000000012","0.0000000012","0.0000000012","0.0000000012","0.0000000012","0.0000000012","0.0000000003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","","0","0","0","0","","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","1909.3841171288"
