"Service","EC2-Other($)","End User Messaging($)","EC2-Instances($)","Tax($)","S3($)","Savings Plans for  Compute usage($)","GuardDuty($)","Redshift($)","CloudWatch($)","QuickSight($)","Amazon Elastic Load Balancing($)","Glue($)","VPC($)","Backup($)","Transfer Family($)","Athena($)","DynamoDB($)","Amazon Elastic Container Service for Kubernetes($)","Config($)","Kinesis Firehose($)","ElastiCache($)","Security Hub($)","Claude Sonnet 4.6 (Amazon Bedrock Edition)($)","Key Management Service($)","Lambda($)","SQS($)","Secrets Manager($)","Amazon EC2 Container Registry (ECR)($)","Cost Explorer($)","CloudWatch Events($)","SNS($)","Systems Manager($)","Step Functions($)","AWS CloudShell($)","CloudFormation($)","CloudTrail($)","Route 53($)","Total costs($)"
"2026-05-11","266.6729792246","330.57","141.5571576461","","97.0700191192","120","50.0556650314","84.695469254","66.2951154315","57.3017974744","57.0360937816","17.4866292451","44.0795466763","30.2418939374","7.2","1.710702","7.3132945016","4.8","4.2055","3.6133953249","1.464","1.1736","1.0806312","0.8188566","0.5193511267","0.7569665438","0.067311128","0.0365460648","0.02","0.009144","0.0009519068","0.000039","0.0000014422","","","","","1397.8526576604"
"2026-05-12","298.8096780582","415.68","109.7612858127","","107.4764227618","120","42.9991823982","84.96120023","68.455165706","57.444799617","60.7456740587","12.8769442326","44.7627381011","30.3613732689","7.2","0.972144","8.0830873765","4.8","3.542","4.3954611249","1.464","1.36043","1.0226733","0.8184966","0.7739474329","0.7490053009","0.067241128","0.0365460648","0.02","0.009331","0.0011615885","","0.0000009845","0.0000001161","","","","1489.6499902623"
"2026-05-13","290.7872229881","292.38","147.7949867292","","137.6869848118","120","104.5399500824","85.221140635","71.9676118716","57.4600803518","51.785067958","48.1774181966","38.000110017","29.6599941229","7.2","1.471257","7.0749805952","4.8","4.0683","4.2549435075","1.464","1.30624","0.5628216","0.8176776","0.6418957278","0.640106458","0.067016128","0.0365460648","0.02","0.009494","0.0008384923","0.012099","0.0000005153","","","","","1509.9087844533"
"2026-05-14","274.4914967883","261.24","115.5819037023","","132.195412702","120","91.4169716687","84.958204441","88.3686951071","57.4941639701","41.9354807781","26.6049434194","31.399782345","29.8270075881","7.2890899071","2.656566","6.8509315013","4.8","4.5207","3.8646268823","1.464","1.45739","1.3612071","0.8195316","0.4362266548","0.6105295155","0.067126128","0.0365460648","0.12","0.01022","0.0007818126","","0.0000009714","","","","","1391.8795366479"
"2026-05-15","261.4326529295","278.73","140.1004990542","","162.0700691139","120","144.2725265213","84.670311834","68.1850083598","57.5382816228","41.6458117549","49.2120095314","31.7837406748","29.8526154459","7.2","24.680763","6.4911160016","4.8","3.2781","3.519351344","1.464","1.11246","1.6566561","0.8195916","0.3869109827","0.642217169","0.067116128","0.0365460648","0.16","0.009787","0.0008147981","","0.0000009705","","","","","1525.8189580012"
"2026-05-16","269.3770354324","214.89","72.0012970777","","109.4525306928","120","62.3042472892","84.533524565","51.8030206886","57.570338141","34.5955710401","17.2420656995","25.1076306849","29.8363850008","7.2","0.520488","4.9685580642","4.8","3.3965","2.5996246072","1.464","1.2147","0.7441104","0.8191356","0.3863924528","0.511679658","0.067231128","0.0365460648","","0.008334","0.0006595653","0.000039","0.0000009867","","","","","1177.451645839"
"2026-05-17","289.8766888713","153.54","170.250590041","","121.9664667321","120","73.2077684681","84.564982623","46.2285098741","57.5936275536","33.5697042615","17.4405668683","20.9085880607","29.979407845","7.2","0.67914","3.4646749392","4.8","4.9903","1.8279336729","1.464","1.50722","0.7569474","0.8201856","0.5850515849","0.423740858","0.067351128","0.0365460648","","0.010172","0.0004692708","","0.0000009976","","","","","1247.7606347149"
"2026-05-18","312.021624116","243.27","206.0188710426","","135.170193918","120","93.7885125205","84.988081585","71.8707597354","57.672545298","44.166117398","26.0426745831","30.166450841","29.9643671432","7.2","2.620053","5.6968645011","4.8","3.8021","2.9478634475","1.464","1.32765","0.9292602","0.8197836","0.7330170538","0.5746600232","0.067176128","0.0365460648","0.05","0.00976","0.000676063","","0.0000009845","","","","","1488.2196092467"
"2026-05-19","305.0233799898","271.59","158.1563252563","","166.6412089924","120","138.0116904979","85.096817549","84.6218225983","57.7374563565","46.9173719118","140.6672638727","32.5518441371","29.9543025115","7.2","6.228792","6.2011846579","4.8","4.7101","3.1715171196","1.464","1.61276","0.9210927","0.8204406","0.7323091766","0.6300381016","0.067296128","0.0365460648","0.03","0.010423","0.0007538513","","0.0000018868","","","","","1675.6067389599"
"2026-05-20","349.4636791511","272.1","368.4566406231","","288.4905030101","120","300.2198510157","85.21358504","116.5521823536","57.7717099537","65.1657751259","64.6390339785","33.1943166708","29.2213978871","7.2","15.952041","6.5122797832","4.8","1.5271","3.3216006199","1.464","0.79126","0.9883071","0.8226366","0.887308577","0.647838384","0.067256128","0.0365460648","0.03","0.007796","0.000736957","","0.0000005415","","","","","2195.545382565"
"2026-05-21","300.2110835657","242.61","155.2173276855","","208.1691804859","120","192.2532326791","84.300783848","83.2042094633","57.8112602884","43.1190923971","131.7909842096","29.9642676555","29.2892888894","7.2893184352","13.09509","5.8747165018","4.8","6.4821","3.0727699634","1.464","2.04415","0.7743318","0.815262342","0.5985339025","0.5793291448","0.067061128","0.0365460648","0.03","0.012248","0.0006623715","","0.0000062427","","","","","1724.9768370642"
"2026-05-22","292.1918941783","216.36","234.2845206982","","173.7128485312","120","152.3087299794","84.844126792","61.257041239","57.8332642237","37.3079979275","81.6090404917","26.4082029194","29.3724944023","7.2","10.950381","5.3973966265","4.8","5.3671","2.8317497912","1.464","1.65081","1.4383545","0.815628342","0.4997825311","0.5293037016","0.067131128","0.0365783922","0.09","0.011533","0.0006108897","","0.0000009714","","","","","1610.6405222564"
"2026-05-23","283.3536033449","172.89","208.2635629025","","163.7932884739","120","139.8045148195","84.781111722","61.0070796588","57.8562936967","34.0755715627","53.0321978626","22.6547155377","29.6650138755","7.2","3.364506","4.4087987521","4.8","5.0789","2.3628724632","1.464","1.44702","0.7801959","0.8200956","0.5044015684","0.455295584","0.067306128","0.0368431176","","0.009959","0.0005096989","0.000039","0.0000009856","","","","","1463.9776972546"
"2026-05-24","288.4187901031","128.7","165.5280157555","","196.3227772191","120","185.5767912058","84.922999231","60.9467858454","57.8916406787","33.169284295","69.7337881569","19.9385360574","29.8164594425","7.2","8.119413","3.0776518767","4.8","6.1345","1.6508569512","1.464","1.60638","0.7982535","0.8210166","0.5948365908","0.3846100232","0.067436128","0.0368431176","","0.011543","0.0004257876","0.000078","0.0000014562","","","","","1477.7337140217"
"2026-05-25","275.4067726869","201.3","189.3662398148","","135.4203469927","120","95.7422519175","85.041607724","59.3836222621","57.9678036399","37.057806999","110.6992452419","27.1448045755","29.9703186385","7.2","4.972437","5.1210451582","4.8","2.9405","2.7275475703","1.464","1.17097","1.1611413","0.8208876","0.4233405824","0.5334360624","0.067491128","0.0370376381","0.06","0.009729","0.0005855369","0.000039","0.0000010136","","","","","1458.0110090827"
"2026-05-26","275.3722707249","200.97","191.7449068375","","169.2924944797","120","135.4052238931","84.680008657","57.6052847645","58.0279453308","38.4975647777","22.005666214","27.1937702556","30.1382483576","7.2","12.128472","5.1828633455","4.8","3.2229","2.7976845047","1.464","1.07485","0.9877362","0.8208576","0.4260162145","0.5199980232","0.067481128","0.0373418991","0.03","0.008914","0.000584032","0.00297","0.000001014","","","","","1451.7060542534"
"2026-05-27","286.585274728","197.07","230.0954815154","","143.9036706843","120","104.2120230782","84.883385467","91.4889366013","58.0563542674","42.1715391412","22.4685064386","27.1597632983","29.4888379971","7.2","8.241732","6.1299949399","4.8","4.5461","3.6092821278","1.464","1.44469","1.0907853","0.8189466","0.4926813542","0.4445276624","0.066961128","0.038474283","0.06","0.010572","0.0005664692","0.000039","0.0000009714","","","","","1478.0431270527"
"2026-05-28","289.2025913796","195.6","206.3539377635","","138.5799838664","120","89.6410685065","84.701440872","68.8892838849","58.0840320461","40.4497489542","23.9441205569","26.9516132806","29.6330959561","7.378915523","2.702286","5.4156947136","4.8","5.4523","2.8026067565","1.464","1.54737","1.0065726","0.8195526","0.5329817212","0.3756812232","0.067226128","0.0385804896","0.03","0.010847","0.0005652742","","0.0000006678","","","","","1406.4760977639"
"2026-05-29","303.3394567893","227.88","276.2063885392","","138.2177120935","120","92.9468570785","84.772269665","63.0227053651","58.2928192718","42.7071136908","26.9039376549","29.5391750131","29.7956543487","7.2","3.165291","5.8843108682","4.8","4.4631","2.9547371744","1.464","0.86123","0.9394539","0.8198046","0.6318046201","0.4328837408","0.067201128","0.0385804896","0.03","0.010309","0.0044811509","","0.0000014291","","","","","1527.391278611"
"2026-05-30","302.1008736409","179.79","213.2667248751","","125.3771752201","120","80.5759251531","85.07053487","55.1967997911","58.8745507464","39.2583181694","23.1011536127","24.002315993","30.2053236563","7.2","0.856314","4.6638998888","4.8","4.5461","2.2481693209","1.464","0.81665","0.7680354","0.8199516","0.6759866212","0.332051184","0.067236128","0.0385804896","","0.010142","0.003814549","","0.0000009858","","","","","1366.1306278954"
"2026-05-31","315.3571763043","128.37","205.4872621391","","132.5800975963","120","85.5242031382","85.24466266","59.2260465969","58.8745507464","35.4497378193","24.0312547342","20.8177898287","30.4249555685","7.2","1.069587","4.6425186364","4.8","5.4949","2.7522776098","1.464","0.99884","0.8926335","0.8227056","0.7871750043","0.250456784","0.067706128","0.0385804896","","0.011356","0.0029252617","","0.0000010378","","","","","1332.6834001835"
