"Service","EC2-Instances($)","CloudWatch($)","EC2-Other($)","Total costs($)"
"Service total","5175.0413171522","32.7689520935","26.0072419502","5233.8175111959"
"2026-05-01","157.069728884","1.0008064659","0.6055161967","158.6760515466"
"2026-05-02","144.065358884","0.9342742074","0.8268981742","145.8265312656"
"2026-05-03","204.957069704","1.3100806641","0.822850508","207.0900008761"
"2026-05-04","126.916438132","0.7931451728","0.5159121166","128.2254954214"
"2026-05-05","152.338010456","0.9387096915","0.6986154891","153.9753356366"
"2026-05-06","162.19182312","1.0032258214","0.7272171864","163.9222661278"
"2026-05-07","134.273109408","0.8314516252","0.6536679789","135.7582290121"
"2026-05-08","133.868314692","0.8653225931","0.5118788496","135.2455161347"
"2026-05-09","131.5411777681","0.8100806573","0.5654223593","132.9166807847"
"2026-05-10","160.952417448","0.9883064664","0.7494058788","162.6901297932"
"2026-05-11","127.33258426","0.782661302","0.4618653471","128.5771109091"
"2026-05-12","91.443094328","0.5629032342","0.4179845076","92.4239820698"
"2026-05-13","117.507143576","0.7443548492","0.5234701203","118.7749685455"
"2026-05-14","143.09523262","0.9266129165","0.7999984563","144.8218439928"
"2026-05-15","152.23451836","0.9451613042","0.6088814252","153.7885610894"
"2026-05-16","134.310660296","0.8564516257","0.7342615383","135.90137346"
"2026-05-17","214.693572916","1.3399193747","1.2119860758","217.2454783665"
"2026-05-18","211.40648738","1.3068548581","0.9613890653","213.6747313034"
"2026-05-19","169.324341868","1.0842742093","0.9011920623","171.3098081396"
"2026-05-20","311.72105","1.9322580935","1.1926850677","314.8459931612"
"2026-05-21","164.519408588","1.05241937","1.0066267816","166.5784547396"
"2026-05-22","191.08358754","1.2673387282","0.9798204002","193.3307466684"
"2026-05-23","186.302520888","1.215725824","1.1110997297","188.6293464417"
"2026-05-24","158.649443736","1.0560484023","1.3176970086","161.0231891469"
"2026-05-25","159.272421572","1.0060484016","0.6817872687","160.9602572423"
"2026-05-26","159.0176978361","0.9778225953","0.7648705121","160.7603909435"
"2026-05-27","168.931339248","1.0875000159","0.9461039277","170.9649431916"
"2026-05-28","173.98153754","1.1596774361","1.1145451233","176.2557600994"
"2026-05-29","234.358124396","1.4866935705","1.037100548","236.8819185145"
"2026-05-30","212.346194396","1.3298387292","1.2498375867","214.9258707119"
"2026-05-31","185.336907312","1.1729838879","1.3066546601","187.81654586"
